brand,active,gear,country,website,facebook,source_active,new_img
Rigging Ventures,,4,US,https://www.riggingventures.com,,FALSE,https://p.kagi.com/proxy/images?c=_m3km2RjA3G0qleowsZXHZb9NEn0fSsEYIHbKzMDyAFb4nUPIanknmQV_g0rmdCIlaWsnOnbWK2BsyqUU35aGj63UNWu4JdqhRyz8gjcVXpNTURCif_UDVBGerkGV1rKnAXpwAskZXhKK40EnnbT9w%3D%3D
Acrobat Slackline,,3,IL,https://www.acrobatslackline.com,https://www.facebook.com/acrobatslackline,TRUE,
Bera Adventure,,3,BR,https://beraadventure.com.br/,https://m.facebook.com/BeraAdventure/,TRUE,https://www.beraadventure.com.br/wp-content/uploads/2018/08/Logo-small-2.png
Edelrid,,3,DE,http://www.edelrid.de/en,https://www.facebook.com/EDELRIDClimbing,TRUE,
Slackline Shop NZ,,3,NZ,http://www.slacklineshop.co.nz,https://www.facebook.com/SlacklineshopNZ,TRUE,
Yoga Slackers,,3,US,http://www.yogaslackers.com,https://www.facebook.com/yogaslackers,TRUE,
Absolute Slacklines,,2,CA,http://www.absoluteslacklines.com,https://www.facebook.com/AbsoluteSlacklines,FALSE,
Balanceur,,2,RO,https://www.balanceur.ro/,https://www.facebook.com/balanceur.slackshop/,FALSE,
Balancing Earth Slacklines,,2,US,http://www.balancingearthslacklines.com,https://www.facebook.com/balancingearthslacklines,FALSE,
Climbing Technology (CT),,2,IT,http://www.climbingtechnology.com,https://www.facebook.com/ClimbingTechnologyItaly,FALSE,
Gambit,,2,DE,,https://www.facebook.com/GAMBITSlacklines,FALSE,
Pump Slackline,,2,AR,https://pump-lines.blogspot.com/,https://www.facebook.com/PumpSlacklineArg,FALSE,
Pure Slacklines,,2,AU,http://pureslacklines.com.au,https://www.facebook.com/PureSlacklines,FALSE,
Slack Mitra,,2,IN,https://www.instamojo.com/slackmitra,,TRUE,
Ambaradam,,1,ES,http://ambaradam.net,https://www.facebook.com/AmbaradaMLongLineLab,FALSE,
Camp,,1,IT,https://shopoutdoor-usa.camp.it/,https://www.facebook.com/camp1889,TRUE,https://p.kagi.com/proxy/118327.jpg?c=qR690BxOWf6fpxRpTx1fHWcHOJ6cy2dgV_NGuCvgbqFa5ewwmIfMZxGE-NTBsqjS1l6R2iGfVL35V18LplW-ng%3D%3D
Fusion Climb,,1,US,http://www.fusionclimb.com,https://www.facebook.com/FusionClimbUSA,TRUE,
Geko Slacklines,,1,MX,http://www.gekoslacklines.mx,,TRUE,
Kong,,1,IT,http://www.kong.it,https://www.facebook.com/kongitaly,TRUE,
Krok,,1,RU,https://krok.biz,https://www.facebook.com/tmkrok,TRUE,
Mammut,,1,CH,https://www.mammut.com/,https://www.facebook.com/Mammut/,TRUE,
One Inch Dreams,,1,DE,http://www.oneinchdreams.com,https://www.facebook.com/OneInchDreams,FALSE,
Radrigs,,1,GB,https://www.radrigs.co.uk/,https://www.facebook.com/Radrigs-Slackline-Equipment-101532338172670/?modal=admin_todo_tour,TRUE,
Singing rock,,1,CZ,http://www.singingrock.com,https://www.facebook.com/singingrock.page,TRUE,
SlackTech,,1,US,http://slacklinetechnology.com,https://www.facebook.com/slacklinetechnology,FALSE,
Slacklining Canada,,1,CA,http://www.slacklining.ca,https://www.facebook.com/slackliningcanada,FALSE,
Space Age Slacklines,,1,US,,,FALSE,
Viper Slacklines,,1,ZA,https://www.viperslacklines.co.za,https://www.facebook.com/viperslacklines,TRUE,https://www.viperslacklines.co.za/cdn/shop/files/VIPER-SLACKLINES-LOGO-Clean.png?v=1768236402&width=270
